Vendor ID,Vendor Name,Inactive,Contact,Address-Line One,Address-Line Two,City,State,Zip,Country,Vend Type,1099 Type,Telephone 1,Telephone 2,Fax Number,Vendor E-mail,Vendor Web Site,Expense Account,Tax ID Number,Account Number,Ship Via,Use Standard Terms,C.O.D. Terms,Prepaid Terms,Terms Type,Due Days,Discount Days,Discount Percent,Credit Limit,Due Month End Terms,Name Long,Address Long,Special Note,Tax ID,Branch,Vendor Since Date,ID Replacement,Use Payment Settings,Vendor Payment Method,Vendor Cash Account
LACCESS02,"Access Systems Co., Ltd.",FALSE,,,,,,,,L,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
LACENGI01,A.C. Engineering Shop,FALSE,,,,,,,,L,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
LACENTE01,A.Center,FALSE,,,,,,,,L,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
LACMECO01,"ACME Co., Ltd.",FALSE,,,,,,,,L,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
LADVANC01,"Advance Imaging Technology Co., Ltd.",FALSE,,,,,,,,L,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
LADVANC02,"Advance Packaging Co., Ltd.",FALSE,,,,,,,,L,0,02-8333999,035-330568,02-8333966,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
LADVANC03,"Advanced Info Service Public Co., Ltd.",FALSE,,,,,,,,L,0,,,,,,7437-2510-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
LADVANC04,"Advance  Metal  Co.,Ltd",FALSE,,29/60  M.2  T.Lampho,A.Bangbuathong,11110,,,Nontaburi,L,0,02-9260645,,02-9617470,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,12/22/11,0,TRUE,,
LADVANC05,"Advance Sales And Service Co.,Ltd.",FALSE,,59/20 M.12 Teparak Km.14.5,T.Bangpla A.Bangplee,Samuthprakarn,,,Thailand,,0,02-1821226,,02-1821230,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,12/24/09,0,TRUE,,
LADVERT01,"Advertising & Media Consultant Co., Ltd",FALSE,,,,,,,,L,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
LADVICC01,"Advic Co., Ltd.",FALSE,K.Sarunya,"12,14 Soi Ladkrabang","14/1 Ladkabang Rd., Lad Kabang",BANGKOK,,10520,THAILAND,L,0,02-7275770-1,,02-3292067,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,8/30/11,0,TRUE,,
LAECDEV01,"A.E.C. Development Co., Ltd.",FALSE,,,,,,,,L,0,,,,,,3121-0000-0,,,0,TRUE,FALSE,FALSE,FALSE,30,0,0.00000,"999,999,999.00",FALSE,,,,,,,0,TRUE,,
